State_ID,ZIPCode,ReportingDate,TypeCC,Participation,Rating,AccrdStatus,PreKStandard,QualityMeasure,HeadStart,MonthlyAmtPaid
126210,79601,10/01/2023,4,1,3st,2,9,0,9,5949
126210,79601,11/01/2023,4,1,3st,2,9,0,9,6037
126210,79601,12/01/2023,4,1,3st,2,9,0,9,5298
192770,77840,10/01/2023,4,1,4st,2,9,0,9,3515
192770,77840,11/01/2023,4,1,4st,2,9,0,9,3515
192770,77840,12/01/2023,4,1,4st,2,9,0,9,3009
1110786,78577,10/01/2023,3,0,999,9,9,9,9,304
1110786,78577,11/01/2023,3,0,999,9,9,9,9,304
1110786,78577,12/01/2023,3,0,999,9,9,9,9,541
1702658,75020,10/01/2023,3,0,999,9,9,9,9,5338
1702658,75020,11/01/2023,3,0,999,9,9,9,9,5639
1702658,75020,12/01/2023,3,0,999,9,9,9,9,5326
850946,75243,10/01/2023,4,0,999,9,9,9,9,87806
850946,75243,11/01/2023,4,0,999,9,9,9,9,85731
850946,75243,12/01/2023,4,0,999,9,9,9,9,77129
1702914,78589,10/01/2023,4,0,999,9,9,9,9,15962
1702914,78589,11/01/2023,4,0,999,9,9,9,9,14908
1702914,78589,12/01/2023,4,0,999,9,9,9,9,14793
851458,79912,11/01/2023,4,0,999,9,9,9,9,1544
851458,79912,12/01/2023,4,0,999,9,9,9,9,1334
1768962,76182,10/01/2023,4,0,999,9,9,9,9,3835
1768962,76182,11/01/2023,4,0,999,9,9,9,9,6479
1768962,76182,12/01/2023,4,0,999,9,9,9,9,4631
982786,75503,10/01/2023,4,1,3st,2,9,0,9,24790
982786,75503,11/01/2023,4,1,3st,2,9,0,9,23756
982786,75503,12/01/2023,4,1,3st,2,9,0,9,21562
1704963,77082,10/01/2023,4,1,3st,2,9,0,9,17883
1704963,77082,11/01/2023,4,1,3st,2,9,0,9,19597
1704963,77082,12/01/2023,4,1,3st,2,9,0,9,21361
1707779,78046,10/01/2023,4,1,3st,2,9,0,9,21733
1707779,78046,11/01/2023,4,1,3st,2,9,0,9,21140
1707779,78046,12/01/2023,4,1,3st,2,9,0,9,16654
1711619,77964,10/01/2023,4,0,999,9,9,9,9,5296
1711619,77964,11/01/2023,4,0,999,9,9,9,9,5221
1711619,77964,12/01/2023,4,0,999,9,9,9,9,4935
1784579,78652,10/01/2023,4,0,999,9,9,9,9,467
1784579,78652,11/01/2023,4,0,999,9,9,9,9,692
1784579,78652,12/01/2023,4,0,999,9,9,9,9,510
1653763,77429,10/01/2023,4,0,999,9,9,9,9,406
1653763,77429,11/01/2023,4,0,999,9,9,9,9,406
1653763,77429,12/01/2023,4,0,999,9,9,9,9,377
1784835,75126,11/01/2023,8,7,999,9,9,9,9,218
1784835,75126,12/01/2023,8,7,999,9,9,9,9,168
867843,78757,10/01/2023,4,1,2st,2,9,0,9,6257
867843,78757,11/01/2023,4,1,2st,2,9,0,9,8652
867843,78757,12/01/2023,4,1,4st,2,9,0,9,8614
1654275,77477,10/01/2023,4,1,3st,2,9,0,9,4908
1654275,77477,11/01/2023,4,1,3st,2,9,0,9,3854
1654275,77477,12/01/2023,4,1,3st,2,9,0,9,3447
411395,79412,10/01/2023,4,1,3st,2,9,0,9,30581
411395,79412,11/01/2023,4,1,3st,2,9,0,9,29023
411395,79412,12/01/2023,4,1,3st,2,9,0,9,29741
1593859,77590,10/01/2023,4,0,999,9,9,9,9,9233
1593859,77590,11/01/2023,4,0,999,9,9,9,9,10321
1593859,77590,12/01/2023,4,0,999,9,9,9,9,10787
1725443,78628,10/01/2023,3,1,4st,2,9,0,9,2323
1725443,78628,11/01/2023,3,1,4st,2,9,0,9,2392
1725443,78628,12/01/2023,3,1,4st,2,9,0,9,2474
1725699,79907,10/01/2023,4,1,4st,2,9,0,9,48218
1725699,79907,11/01/2023,4,1,4st,2,9,0,9,48372
1725699,79907,12/01/2023,4,1,4st,2,9,0,9,42044
1728003,76065,10/01/2023,4,1,3st,2,9,0,9,1834
1728003,76065,11/01/2023,4,1,3st,2,9,0,9,1648
1728003,76065,12/01/2023,4,1,3st,2,9,0,9,1555
815875,79407,10/01/2023,4,0,999,9,9,9,9,25115
815875,79407,11/01/2023,4,0,999,9,9,9,9,26524
815875,79407,12/01/2023,4,0,999,9,9,9,9,25922
1733635,78238,10/01/2023,4,0,999,9,9,9,9,5220
818691,78516,10/01/2023,4,0,999,9,9,9,9,20449
818691,78516,11/01/2023,4,0,999,9,9,9,9,23497
818691,78516,12/01/2023,4,0,999,9,9,9,9,24689
819459,77802,10/01/2023,4,0,999,9,9,9,9,10413
819459,77802,11/01/2023,4,0,999,9,9,9,9,10413
819459,77802,12/01/2023,4,0,999,9,9,9,9,9823
1672707,76244,10/01/2023,4,1,4st,2,9,0,9,31003
1672707,76244,11/01/2023,4,1,4st,2,9,0,9,30161
1672707,76244,12/01/2023,4,1,4st,2,9,0,9,30624
1542403,75440,10/01/2023,4,1,4st,2,9,0,9,1751
1542403,75440,11/01/2023,4,1,4st,2,9,0,9,1709
1542403,75440,12/01/2023,4,1,4st,2,9,0,9,1089
1411587,77036,10/01/2023,4,0,999,9,9,9,9,3925
1411587,77036,11/01/2023,4,0,999,9,9,9,9,4148
1411587,77036,12/01/2023,4,0,999,9,9,9,9,3630
1674755,77840,10/01/2023,4,0,999,9,9,9,9,17200
1674755,77840,11/01/2023,4,0,999,9,9,9,9,16692
1674755,77840,12/01/2023,4,0,999,9,9,9,9,13918
1675779,79703,10/01/2023,3,0,999,9,9,9,9,2452
1675779,79703,11/01/2023,3,0,999,9,9,9,9,1942
1675779,79703,12/01/2023,3,0,999,9,9,9,9,1408
1546243,77084,10/01/2023,2,0,999,9,9,9,9,844
1546243,77084,11/01/2023,2,0,999,9,9,9,9,872
1546243,77084,12/01/2023,2,0,999,9,9,9,9,1432
1353987,75165,11/01/2023,4,0,999,9,9,9,9,458
1353987,75165,12/01/2023,4,0,999,9,9,9,9,815
1684227,78738,10/01/2023,4,1,4st,2,9,0,9,8662
1684227,78738,11/01/2023,4,1,4st,2,9,0,9,9868
1684227,78738,12/01/2023,4,1,4st,2,9,0,9,8920
1755395,75150,10/01/2023,3,0,999,9,9,9,9,4513
1755395,75150,11/01/2023,3,0,999,9,9,9,9,4431
1755395,75150,12/01/2023,3,0,999,9,9,9,9,4201
1697283,79109,10/01/2023,4,1,2st,2,9,0,9,21601
1697283,79109,11/01/2023,4,1,2st,2,9,0,9,22796
1697283,79109,12/01/2023,4,1,2st,2,9,0,9,19465
1699075,78634,10/01/2023,4,1,3st,2,9,0,9,2083
1699075,78634,11/01/2023,4,1,3st,2,9,0,9,2083
1699075,78634,12/01/2023,4,1,3st,2,9,0,9,2784
